state,district,crop,season,area_ha,temperature_c,rainfall_mm,yield_tons_per_ha
Andhra Pradesh,ANANTAPUR,Maize,Kharif,8852.0,32.0,322.8,4.962
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Kharif,32226.0,32.0,322.8,3.15
Andhra Pradesh,ANANTAPUR,Maize,Rabi,4615.0,20.5,168.2,7.31
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Rabi,19428.0,20.5,168.2,2.414
Andhra Pradesh,ANANTAPUR,Wheat,Rabi,179.0,20.5,168.2,0.542
Andhra Pradesh,ANANTAPUR,Sugarcane,Whole Year,112.0,29.0,572.7,89.0
Andhra Pradesh,ANANTAPUR,Cotton,Kharif,4338.0,32.0,322.8,0.686
Andhra Pradesh,ANANTAPUR,Maize,Kharif,10726.0,32.0,322.8,4.771
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Kharif,34973.0,32.0,322.8,2.917
Andhra Pradesh,ANANTAPUR,Maize,Rabi,4750.0,20.5,168.2,9.117
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Rabi,24828.0,20.5,168.2,2.795
Andhra Pradesh,ANANTAPUR,Wheat,Rabi,131.0,20.5,168.2,1.305
Andhra Pradesh,ANANTAPUR,Sugarcane,Whole Year,235.0,29.0,572.7,89.281
Andhra Pradesh,ANANTAPUR,Cotton,Kharif,19299.0,32.0,322.8,0.625
Andhra Pradesh,ANANTAPUR,Maize,Kharif,25447.0,32.0,322.8,2.494
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Kharif,37720.0,32.0,322.8,2.506
Andhra Pradesh,ANANTAPUR,Maize,Rabi,6208.0,20.5,168.2,7.759
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Rabi,10948.0,20.5,168.2,2.333
Andhra Pradesh,ANANTAPUR,Wheat,Rabi,75.0,20.5,168.2,1.333
Andhra Pradesh,ANANTAPUR,Sugarcane,Whole Year,410.0,29.0,572.7,95.576
Andhra Pradesh,ANANTAPUR,Cotton,Kharif,27566.0,32.0,322.8,1.288
Andhra Pradesh,ANANTAPUR,Maize,Kharif,22039.0,32.0,322.8,2.882
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Kharif,22056.0,32.0,322.8,2.661
Andhra Pradesh,ANANTAPUR,Sugarcane,Kharif,76.0,32.0,322.8,91.5
Andhra Pradesh,ANANTAPUR,Cotton,Rabi,77.0,20.5,168.2,1.286
Andhra Pradesh,ANANTAPUR,Maize,Rabi,7070.0,20.5,168.2,7.086
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Rabi,6998.0,20.5,168.2,2.539
Andhra Pradesh,ANANTAPUR,Wheat,Rabi,134.0,20.5,168.2,1.127
Andhra Pradesh,ANANTAPUR,Cotton,Kharif,37661.0,32.0,322.8,2.053
Andhra Pradesh,ANANTAPUR,Maize,Kharif,27087.0,32.0,322.8,1.965
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Kharif,28114.0,32.0,322.8,2.112
Andhra Pradesh,ANANTAPUR,Sugarcane,Kharif,281.0,32.0,322.8,94.324
Andhra Pradesh,ANANTAPUR,Cotton,Rabi,62.0,20.5,168.2,2.048
Andhra Pradesh,ANANTAPUR,Maize,Rabi,7777.0,20.5,168.2,7.454
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Rabi,12283.0,20.5,168.2,2.325
Andhra Pradesh,ANANTAPUR,Wheat,Rabi,62.0,20.5,168.2,0.629
Andhra Pradesh,ANANTAPUR,Wheat,Whole Year,62.0,29.0,572.7,0.629
Andhra Pradesh,ANANTAPUR,Cotton,Kharif,73734.0,32.0,322.8,1.407
Andhra Pradesh,ANANTAPUR,Maize,Kharif,16839.0,32.0,322.8,2.535
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Kharif,22658.0,32.0,322.8,3.008
Andhra Pradesh,ANANTAPUR,Sugarcane,Kharif,30.0,32.0,322.8,81.867
Andhra Pradesh,ANANTAPUR,Cotton,Rabi,884.0,20.5,168.2,1.407
Andhra Pradesh,ANANTAPUR,Maize,Rabi,4474.0,20.5,168.2,7.067
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Rabi,6553.0,20.5,168.2,2.194
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Whole Year,29211.0,29.0,572.7,2.825
Andhra Pradesh,CHITTOOR,Maize,Kharif,100.0,32.0,417.1,3.0
Andhra Pradesh,CHITTOOR,Rice (Paddy),Kharif,42300.0,32.0,417.1,1.995
Andhra Pradesh,CHITTOOR,Sugarcane,Kharif,29600.0,32.0,417.1,93.753
Andhra Pradesh,CHITTOOR,Rice (Paddy),Rabi,57400.0,20.5,378.2,2.394
Andhra Pradesh,CHITTOOR,Maize,Kharif,100.0,32.0,417.1,3.0
Andhra Pradesh,CHITTOOR,Rice (Paddy),Kharif,42000.0,32.0,417.1,2.51
Andhra Pradesh,CHITTOOR,Maize,Rabi,100.0,20.5,378.2,3.0
Andhra Pradesh,CHITTOOR,Rice (Paddy),Rabi,62400.0,20.5,378.2,2.551
Andhra Pradesh,CHITTOOR,Sugarcane,Whole Year,34500.0,29.0,898.2,97.884
Andhra Pradesh,CHITTOOR,Cotton,Kharif,2.0,32.0,417.1,1.0
Andhra Pradesh,CHITTOOR,Maize,Kharif,181.0,32.0,417.1,2.84
Andhra Pradesh,CHITTOOR,Rice (Paddy),Kharif,37542.0,32.0,417.1,2.01
Andhra Pradesh,CHITTOOR,Maize,Rabi,67.0,20.5,378.2,4.836
Andhra Pradesh,CHITTOOR,Rice (Paddy),Rabi,37489.0,20.5,378.2,2.049
Andhra Pradesh,CHITTOOR,Sugarcane,Whole Year,44929.0,29.0,898.2,91.211
Andhra Pradesh,CHITTOOR,Cotton,Kharif,19.0,32.0,417.1,1.316
Andhra Pradesh,CHITTOOR,Maize,Kharif,357.0,32.0,417.1,2.605
Andhra Pradesh,CHITTOOR,Rice (Paddy),Kharif,33776.0,32.0,417.1,2.642
Andhra Pradesh,CHITTOOR,Maize,Rabi,56.0,20.5,378.2,5.393
Andhra Pradesh,CHITTOOR,Rice (Paddy),Rabi,41442.0,20.5,378.2,2.345
Andhra Pradesh,CHITTOOR,Wheat,Rabi,5.0,20.5,378.2,0.6
Andhra Pradesh,CHITTOOR,Sugarcane,Whole Year,40539.0,29.0,898.2,91.207
Andhra Pradesh,CHITTOOR,Cotton,Kharif,2.0,32.0,417.1,1.0
Andhra Pradesh,CHITTOOR,Maize,Kharif,294.0,32.0,417.1,2.673
Andhra Pradesh,CHITTOOR,Rice (Paddy),Kharif,24377.0,32.0,417.1,2.269
Andhra Pradesh,CHITTOOR,Maize,Rabi,81.0,20.5,378.2,6.469
Andhra Pradesh,CHITTOOR,Rice (Paddy),Rabi,62049.0,20.5,378.2,2.749
Andhra Pradesh,CHITTOOR,Sugarcane,Whole Year,38789.0,29.0,898.2,86.036
Andhra Pradesh,CHITTOOR,Maize,Kharif,261.0,32.0,417.1,0.969
Andhra Pradesh,CHITTOOR,Rice (Paddy),Kharif,20137.0,32.0,417.1,2.484
Andhra Pradesh,CHITTOOR,Maize,Rabi,284.0,20.5,378.2,6.93
Andhra Pradesh,CHITTOOR,Rice (Paddy),Rabi,30034.0,20.5,378.2,2.558
Andhra Pradesh,CHITTOOR,Wheat,Rabi,5.0,20.5,378.2,1.4
Andhra Pradesh,CHITTOOR,Sugarcane,Whole Year,39436.0,29.0,898.2,68.077
Andhra Pradesh,CHITTOOR,Maize,Kharif,742.0,32.0,417.1,1.716
Andhra Pradesh,CHITTOOR,Rice (Paddy),Kharif,18495.0,32.0,417.1,2.085
Andhra Pradesh,CHITTOOR,Maize,Rabi,392.0,20.5,378.2,5.599
Andhra Pradesh,CHITTOOR,Rice (Paddy),Rabi,27286.0,20.5,378.2,1.712
Andhra Pradesh,CHITTOOR,Wheat,Rabi,7.0,20.5,378.2,0.286
Andhra Pradesh,CHITTOOR,Sugarcane,Whole Year,26845.0,29.0,898.2,70.102
Andhra Pradesh,CHITTOOR,Maize,Kharif,509.0,32.0,417.1,2.87
Andhra Pradesh,CHITTOOR,Rice (Paddy),Kharif,19055.0,32.0,417.1,2.274
Andhra Pradesh,CHITTOOR,Maize,Rabi,354.0,20.5,378.2,7.229
Andhra Pradesh,CHITTOOR,Rice (Paddy),Rabi,25822.0,20.5,378.2,2.679
Andhra Pradesh,CHITTOOR,Sugarcane,Whole Year,21928.0,29.0,898.2,85.069
Andhra Pradesh,CHITTOOR,Cotton,Kharif,4.0,32.0,417.1,1.0
Andhra Pradesh,CHITTOOR,Maize,Kharif,417.0,32.0,417.1,5.156
Andhra Pradesh,CHITTOOR,Rice (Paddy),Kharif,16240.0,32.0,417.1,2.289
Andhra Pradesh,CHITTOOR,Maize,Rabi,356.0,20.5,378.2,7.472
Andhra Pradesh,CHITTOOR,Rice (Paddy),Rabi,66351.0,20.5,378.2,2.918
Andhra Pradesh,CHITTOOR,Sugarcane,Whole Year,22453.0,29.0,898.2,87.847
Andhra Pradesh,CHITTOOR,Maize,Kharif,386.0,32.0,417.1,3.57
Andhra Pradesh,CHITTOOR,Rice (Paddy),Kharif,17049.0,32.0,417.1,2.494
Andhra Pradesh,CHITTOOR,Maize,Rabi,788.0,20.5,378.2,7.577
Andhra Pradesh,CHITTOOR,Rice (Paddy),Rabi,29164.0,20.5,378.2,2.918
Andhra Pradesh,CHITTOOR,Wheat,Rabi,4.0,20.5,378.2,0.25
Andhra Pradesh,CHITTOOR,Sugarcane,Whole Year,37965.0,29.0,898.2,92.11
Andhra Pradesh,CHITTOOR,Maize,Kharif,1000.0,32.0,417.1,3.0
Andhra Pradesh,CHITTOOR,Rice (Paddy),Kharif,15000.0,32.0,417.1,2.8
Andhra Pradesh,CHITTOOR,Maize,Rabi,1000.0,20.5,378.2,4.0
Andhra Pradesh,CHITTOOR,Rice (Paddy),Rabi,37000.0,20.5,378.2,3.135
Andhra Pradesh,CHITTOOR,Sugarcane,Whole Year,30000.0,29.0,898.2,93.967
Andhra Pradesh,CHITTOOR,Cotton,Kharif,24.0,32.0,417.1,1.542
Andhra Pradesh,CHITTOOR,Maize,Kharif,843.0,32.0,417.1,4.67
Andhra Pradesh,CHITTOOR,Rice (Paddy),Kharif,17596.0,32.0,417.1,2.628
Andhra Pradesh,CHITTOOR,Maize,Rabi,957.0,20.5,378.2,8.83
Andhra Pradesh,CHITTOOR,Rice (Paddy),Rabi,37927.0,20.5,378.2,3.128
Andhra Pradesh,CHITTOOR,Sugarcane,Whole Year,26916.0,29.0,898.2,84.109
Andhra Pradesh,CHITTOOR,Cotton,Kharif,66.0,32.0,417.1,1.424
Andhra Pradesh,CHITTOOR,Maize,Kharif,1326.0,32.0,417.1,3.707
Andhra Pradesh,CHITTOOR,Rice (Paddy),Kharif,19758.0,32.0,417.1,2.844
Andhra Pradesh,CHITTOOR,Maize,Rabi,611.0,20.5,378.2,7.309
Andhra Pradesh,CHITTOOR,Rice (Paddy),Rabi,35155.0,20.5,378.2,3.241
Andhra Pradesh,CHITTOOR,Sugarcane,Whole Year,27193.0,29.0,898.2,83.149
Andhra Pradesh,CHITTOOR,Cotton,Kharif,235.0,32.0,417.1,0.417
Andhra Pradesh,CHITTOOR,Maize,Kharif,970.0,32.0,417.1,5.123
Andhra Pradesh,CHITTOOR,Rice (Paddy),Kharif,18019.0,32.0,417.1,2.977
Andhra Pradesh,CHITTOOR,Maize,Rabi,539.0,20.5,378.2,9.117
Andhra Pradesh,CHITTOOR,Rice (Paddy),Rabi,43558.0,20.5,378.2,3.019
Andhra Pradesh,CHITTOOR,Sugarcane,Whole Year,27719.0,29.0,898.2,83.385
Andhra Pradesh,CHITTOOR,Cotton,Kharif,400.0,32.0,417.1,0.162
Andhra Pradesh,CHITTOOR,Maize,Kharif,930.0,32.0,417.1,3.316
Andhra Pradesh,CHITTOOR,Rice (Paddy),Kharif,17342.0,32.0,417.1,3.213
Andhra Pradesh,CHITTOOR,Maize,Rabi,877.0,20.5,378.2,7.759
Andhra Pradesh,CHITTOOR,Rice (Paddy),Rabi,33764.0,20.5,378.2,3.353
Andhra Pradesh,CHITTOOR,Sugarcane,Whole Year,28405.0,29.0,898.2,90.727
Andhra Pradesh,CHITTOOR,Cotton,Kharif,317.0,32.0,417.1,1.278
Andhra Pradesh,CHITTOOR,Maize,Kharif,1078.0,32.0,417.1,4.058
Andhra Pradesh,CHITTOOR,Rice (Paddy),Kharif,12952.0,32.0,417.1,3.493
Andhra Pradesh,CHITTOOR,Sugarcane,Kharif,28106.0,32.0,417.1,88.637
Andhra Pradesh,CHITTOOR,Cotton,Rabi,226.0,20.5,378.2,1.274
Andhra Pradesh,CHITTOOR,Maize,Rabi,547.0,20.5,378.2,7.086
Andhra Pradesh,CHITTOOR,Rice (Paddy),Rabi,34557.0,20.5,378.2,3.651
Andhra Pradesh,CHITTOOR,Cotton,Kharif,157.0,32.0,417.1,2.49
Andhra Pradesh,CHITTOOR,Maize,Kharif,1905.0,32.0,417.1,4.033
Andhra Pradesh,CHITTOOR,Rice (Paddy),Kharif,15206.0,32.0,417.1,3.207
Andhra Pradesh,CHITTOOR,Sugarcane,Kharif,28152.0,32.0,417.1,91.039
Andhra Pradesh,CHITTOOR,Cotton,Rabi,194.0,20.5,378.2,2.49
Andhra Pradesh,CHITTOOR,Maize,Rabi,1303.0,20.5,378.2,7.454
Andhra Pradesh,CHITTOOR,Rice (Paddy),Rabi,34654.0,20.5,378.2,3.47
Andhra Pradesh,CHITTOOR,Cotton,Kharif,308.0,32.0,417.1,2.347
Andhra Pradesh,CHITTOOR,Maize,Kharif,2693.0,32.0,417.1,3.275
Andhra Pradesh,CHITTOOR,Rice (Paddy),Kharif,13304.0,32.0,417.1,3.342
Andhra Pradesh,CHITTOOR,Sugarcane,Kharif,26147.0,32.0,417.1,79.053
Andhra Pradesh,CHITTOOR,Cotton,Rabi,545.0,20.5,378.2,2.345
Andhra Pradesh,CHITTOOR,Maize,Rabi,984.0,20.5,378.2,6.534
Andhra Pradesh,CHITTOOR,Rice (Paddy),Rabi,27661.0,20.5,378.2,3.18
Andhra Pradesh,CHITTOOR,Rice (Paddy),Whole Year,40965.0,29.0,898.2,3.233
Andhra Pradesh,EAST GODAVARI,Cotton,Kharif,9800.0,32.0,703.9,2.388
Andhra Pradesh,EAST GODAVARI,Maize,Kharif,1600.0,32.0,703.9,1.812
Andhra Pradesh,EAST GODAVARI,Rice (Paddy),Kharif,214100.0,32.0,703.9,2.005
Andhra Pradesh,EAST GODAVARI,Sugarcane,Kharif,15100.0,32.0,703.9,79.291
Andhra Pradesh,EAST GODAVARI,Maize,Rabi,3600.0,20.5,292.7,3.806
Andhra Pradesh,EAST GODAVARI,Rice (Paddy),Rabi,154400.0,20.5,292.7,3.183
Andhra Pradesh,EAST GODAVARI,Cotton,Kharif,7900.0,32.0,703.9,0.797
Andhra Pradesh,EAST GODAVARI,Maize,Kharif,1700.0,32.0,703.9,2.118
Andhra Pradesh,EAST GODAVARI,Rice (Paddy),Kharif,256300.0,32.0,703.9,1.508
Andhra Pradesh,EAST GODAVARI,Maize,Rabi,3800.0,20.5,292.7,4.921
Andhra Pradesh,EAST GODAVARI,Rice (Paddy),Rabi,157600.0,20.5,292.7,4.166
Andhra Pradesh,EAST GODAVARI,Sugarcane,Whole Year,16400.0,29.0,1106.0,76.518
Andhra Pradesh,EAST GODAVARI,Cotton,Kharif,4410.0,32.0,703.9,1.653
Andhra Pradesh,EAST GODAVARI,Maize,Kharif,1522.0,32.0,703.9,2.841
Andhra Pradesh,EAST GODAVARI,Rice (Paddy),Kharif,244655.0,32.0,703.9,2.569
Andhra Pradesh,EAST GODAVARI,Maize,Rabi,4266.0,20.5,292.7,4.841
Andhra Pradesh,EAST GODAVARI,Rice (Paddy),Rabi,161551.0,20.5,292.7,3.994
Andhra Pradesh,EAST GODAVARI,Sugarcane,Whole Year,15657.0,29.0,1106.0,91.043
Andhra Pradesh,EAST GODAVARI,Cotton,Kharif,5580.0,32.0,703.9,1.888
Andhra Pradesh,EAST GODAVARI,Maize,Kharif,1406.0,32.0,703.9,2.604
Andhra Pradesh,EAST GODAVARI,Rice (Paddy),Kharif,253966.0,32.0,703.9,2.691
Andhra Pradesh,EAST GODAVARI,Maize,Rabi,4108.0,20.5,292.7,5.384
Andhra Pradesh,EAST GODAVARI,Rice (Paddy),Rabi,162861.0,20.5,292.7,4.195
