state,district,crop,season,area_ha,temperature_c,rainfall_mm,yield_tons_per_ha
Haryana,Ludhiana,Sugarcane,Kharif,14.46185805426953,24.6,1142.3,66.24
Haryana,Phagwara,Wheat,Rabi,25.410094145648753,18.2,201.1,4.37
Haryana,Ludhiana,Cotton,Kharif,28.485960605233927,31.5,348.0,2.29
Punjab,Phagwara,Cotton,Kharif,49.04267352952652,28.5,537.8,2.03
Punjab,Jalandhar,Wheat,Rabi,18.06451788414172,17.8,184.6,3.93
Punjab,Bathinda,Maize,Kharif,8.206600565522859,28.4,273.9,3.05
Haryana,Samrala,Maize,Kharif,49.021596188988376,25.2,362.2,2.51
Punjab,Malerkotla,Sugarcane,Kharif,7.802531459821097,29.7,1182.9,71.43
Punjab,Jalandhar,Sugarcane,Kharif,26.246566688346334,29.5,726.9,67.13
Haryana,Khanna,Maize,Kharif,27.887050151163024,22.7,625.4,3.06
Haryana,Ludhiana,Wheat,Rabi,34.829346602838896,16.2,148.3,3.67
Punjab,Ludhiana,Wheat,Rabi,43.54675424474375,16.5,228.9,4.03
Punjab,Samrala,Wheat,Rabi,38.237815037941694,18.3,139.9,4.04
Punjab,Amritsar,Wheat,Rabi,18.353186868863148,16.4,168.8,3.43
Punjab,Doraha,Rice (Paddy),Kharif,42.19478930801863,29.1,684.0,4.07
Haryana,Doraha,Sugarcane,Kharif,32.79231917428723,28.2,1182.1,72.45
Haryana,Samrala,Rice (Paddy),Kharif,28.658468583609423,26.5,668.7,4.03
Haryana,Khanna,Maize,Kharif,46.75089936423385,25.0,729.1,3.21
Punjab,Samrala,Rice (Paddy),Kharif,4.931453537420468,30.4,919.6,4.89
Haryana,Malerkotla,Wheat,Rabi,28.28138175768256,20.5,147.0,3.46
Punjab,Khanna,Wheat,Rabi,16.86028258380794,16.4,175.6,4.28
Haryana,Khanna,Maize,Kharif,25.799093861608004,29.6,531.9,2.67
Haryana,Amritsar,Wheat,Rabi,27.881552778969507,19.5,125.9,3.97
Punjab,Samrala,Sugarcane,Kharif,18.09454506060677,29.4,1154.3,80.5
Haryana,Bathinda,Sugarcane,Kharif,46.97868238423085,27.5,1017.3,82.03
Haryana,Malerkotla,Maize,Kharif,10.879738682339482,28.2,530.5,3.06
Punjab,Doraha,Cotton,Kharif,16.49363253252824,31.2,570.1,1.8
Punjab,Khanna,Rice (Paddy),Kharif,37.632859628636304,30.8,648.8,3.89
Punjab,Amritsar,Maize,Kharif,45.4171334372628,31.3,225.3,3.02
Haryana,Patiala,Maize,Kharif,25.275757693794315,29.5,394.3,3.23
Punjab,Phagwara,Rice (Paddy),Kharif,2.64308930205319,34.6,792.2,3.6
Punjab,Patiala,Maize,Kharif,7.246944454267139,36.5,531.3,2.8
Punjab,Patiala,Cotton,Kharif,38.82221704931401,34.0,588.6,1.77
Punjab,Patiala,Sugarcane,Kharif,47.99466493363736,22.7,1056.2,82.15
Punjab,Doraha,Sugarcane,Kharif,8.51421875268793,28.4,1489.2,82.8
Haryana,Bathinda,Maize,Kharif,35.654693081356534,25.2,587.1,3.53
Punjab,Khanna,Sugarcane,Kharif,37.08576754561142,26.6,934.1,70.89
Punjab,Malerkotla,Rice (Paddy),Kharif,43.62492174104428,31.3,735.6,3.54
Punjab,Malerkotla,Maize,Kharif,17.424664840649147,31.0,557.0,3.01
Haryana,Khanna,Wheat,Rabi,23.819305993621846,17.3,112.1,4.21
Punjab,Jalandhar,Rice (Paddy),Kharif,25.42002086423451,32.3,692.3,3.64
Punjab,Phagwara,Rice (Paddy),Kharif,48.092445556003305,32.8,701.7,3.88
Punjab,Samrala,Rice (Paddy),Kharif,15.680199676557375,29.2,1002.5,4.17
Punjab,Samrala,Sugarcane,Kharif,4.219723331989266,32.2,575.2,50.59
Haryana,Ludhiana,Wheat,Rabi,25.3535854922412,17.3,136.3,3.32
Haryana,Amritsar,Cotton,Kharif,40.23673880281993,33.0,372.2,1.9
Punjab,Samrala,Rice (Paddy),Kharif,28.03440716770765,27.2,908.3,3.85
Punjab,Samrala,Wheat,Rabi,40.46043340053735,19.4,169.6,3.87
Punjab,Patiala,Cotton,Kharif,33.736171691961665,30.2,280.7,1.96
Punjab,Phagwara,Maize,Kharif,2.300077989817166,22.0,414.1,3.32
Haryana,Ludhiana,Maize,Kharif,17.749050233195923,30.3,445.0,3.29
Punjab,Amritsar,Maize,Kharif,15.428822217553966,27.5,419.6,2.84
Punjab,Phagwara,Rice (Paddy),Kharif,24.754139990366962,25.7,846.2,3.37
Haryana,Khanna,Sugarcane,Kharif,21.66349279311081,24.1,1148.7,75.9
Punjab,Bathinda,Sugarcane,Kharif,41.30660991967202,32.1,998.4,72.04
Haryana,Doraha,Cotton,Kharif,11.114642316269558,31.2,382.1,1.94
Punjab,Khanna,Sugarcane,Kharif,30.273242006345107,27.4,1552.2,81.02
Haryana,Doraha,Wheat,Rabi,9.147885069047891,17.5,195.7,4.25
Haryana,Ludhiana,Sugarcane,Kharif,15.558964065535577,29.7,974.5,63.26
Punjab,Patiala,Sugarcane,Kharif,30.158818604312486,29.1,975.2,67.77
Haryana,Bathinda,Rice (Paddy),Kharif,4.681751305054629,28.2,1048.2,3.95
Punjab,Jalandhar,Wheat,Rabi,40.171378069479985,19.2,242.1,3.43
Punjab,Bathinda,Cotton,Kharif,40.5640823390213,31.5,318.1,2.21
Haryana,Bathinda,Rice (Paddy),Kharif,33.28038496882515,30.1,817.9,4.21
Haryana,Malerkotla,Cotton,Kharif,11.83926264916051,31.2,464.5,2.11
Punjab,Phagwara,Wheat,Rabi,28.829316297078844,16.5,128.6,3.54
Punjab,Malerkotla,Sugarcane,Kharif,46.29541357344999,26.9,1271.4,86.67
Punjab,Ludhiana,Sugarcane,Kharif,28.473182506172186,28.2,457.5,72.82
Haryana,Phagwara,Cotton,Kharif,29.04896021223982,32.4,594.7,2.34
Haryana,Doraha,Cotton,Kharif,12.415014262928054,32.5,301.4,2.01
Punjab,Phagwara,Maize,Kharif,26.91791956733339,25.3,497.1,2.7
Punjab,Doraha,Rice (Paddy),Kharif,17.48215272759268,27.8,885.2,4.33
Punjab,Samrala,Wheat,Rabi,15.519097902343514,18.5,148.6,4.26
Haryana,Doraha,Maize,Kharif,39.53090570636205,27.8,380.2,3.05
Punjab,Samrala,Sugarcane,Kharif,45.28247439158825,32.9,1233.4,66.65
Haryana,Malerkotla,Wheat,Rabi,2.7998649339040678,16.7,153.0,4.09
Punjab,Khanna,Rice (Paddy),Kharif,26.394757967143217,28.6,1013.1,3.99
Haryana,Jalandhar,Maize,Kharif,11.967063126308531,31.6,556.6,3.48
Haryana,Malerkotla,Sugarcane,Kharif,14.375009367959432,27.4,986.2,75.26
Haryana,Samrala,Cotton,Kharif,19.261737333603385,31.5,473.0,2.12
Haryana,Khanna,Maize,Kharif,11.788976895540756,30.1,505.2,3.09
Haryana,Amritsar,Sugarcane,Kharif,43.36015113506008,28.7,1172.6,79.06
Haryana,Ludhiana,Sugarcane,Kharif,43.49741584703032,25.8,766.2,64.81
Punjab,Doraha,Rice (Paddy),Kharif,2.433116868693398,30.6,889.2,4.18
Haryana,Patiala,Wheat,Rabi,41.774574719929355,14.2,176.1,3.05
Haryana,Samrala,Maize,Kharif,39.21242436240603,30.6,394.2,2.86
Haryana,Bathinda,Maize,Kharif,39.65154211166647,27.6,446.4,3.39
Haryana,Ludhiana,Wheat,Rabi,24.205120533319338,17.0,108.9,3.71
Haryana,Patiala,Sugarcane,Kharif,7.374225766400967,26.6,1227.3,77.05
Haryana,Ludhiana,Sugarcane,Kharif,23.117964192154098,31.9,755.0,70.02
Punjab,Patiala,Wheat,Rabi,38.86831622082342,19.7,98.8,3.74
Haryana,Bathinda,Sugarcane,Kharif,48.26150314124022,30.7,980.2,72.12
Punjab,Amritsar,Maize,Kharif,10.81759803388692,31.3,349.8,2.81
Haryana,Malerkotla,Rice (Paddy),Kharif,5.467060029903392,31.4,967.6,4.38
Haryana,Phagwara,Sugarcane,Kharif,40.04309356533735,24.0,967.7,63.95
Punjab,Khanna,Rice (Paddy),Kharif,8.880447984831314,26.0,890.9,4.08
Haryana,Samrala,Sugarcane,Kharif,49.23321896274229,20.7,909.5,60.5
Punjab,Malerkotla,Rice (Paddy),Kharif,47.679783263897136,29.9,914.1,4.12
Haryana,Malerkotla,Rice (Paddy),Kharif,6.036827820140619,32.2,1025.5,4.13
Haryana,Ludhiana,Wheat,Rabi,27.17786809284581,17.5,151.1,3.76
Haryana,Doraha,Wheat,Rabi,48.8958529294245,19.2,189.6,3.65
Punjab,Samrala,Sugarcane,Kharif,7.086778369674908,28.2,911.0,69.69
Haryana,Samrala,Wheat,Rabi,31.639928350483444,16.9,192.0,4.23
Haryana,Jalandhar,Rice (Paddy),Kharif,9.035974568485365,31.6,829.6,4.59
Haryana,Malerkotla,Maize,Kharif,31.1713590751699,25.3,562.7,3.17
Haryana,Khanna,Wheat,Rabi,33.00988794262918,15.7,235.7,3.89
Punjab,Khanna,Rice (Paddy),Kharif,42.18216790756974,31.6,859.9,3.94
Haryana,Patiala,Cotton,Kharif,2.9653503792116416,37.2,607.4,1.44
Haryana,Bathinda,Wheat,Rabi,24.84677812981044,18.9,202.7,3.6
Punjab,Amritsar,Maize,Kharif,36.92253809834877,25.6,336.4,3.32
Haryana,Phagwara,Wheat,Rabi,12.639622921270004,17.4,163.0,3.31
Haryana,Samrala,Rice (Paddy),Kharif,33.4684426714077,29.1,792.4,3.73
Punjab,Amritsar,Sugarcane,Kharif,33.18009656252332,29.0,906.5,72.8
Punjab,Doraha,Sugarcane,Kharif,22.65919431536002,33.9,1095.4,69.96
Punjab,Ludhiana,Maize,Kharif,13.186999356793866,22.5,344.4,2.4
Haryana,Bathinda,Rice (Paddy),Kharif,42.36435199949066,32.6,980.9,4.2
Haryana,Patiala,Wheat,Rabi,49.347956037500914,18.1,179.1,4.08
Punjab,Ludhiana,Rice (Paddy),Kharif,29.648864321686847,28.8,787.9,3.24
Punjab,Amritsar,Rice (Paddy),Kharif,32.31687695295952,31.3,568.3,3.13
Haryana,Patiala,Maize,Kharif,8.03357573993025,28.8,535.2,2.87
Haryana,Bathinda,Rice (Paddy),Kharif,36.81064426867294,30.5,771.4,4.41
Haryana,Doraha,Wheat,Rabi,12.963217230696339,18.4,169.8,4.15
Haryana,Samrala,Rice (Paddy),Kharif,34.7868108005465,30.4,892.7,4.43
Punjab,Doraha,Cotton,Kharif,8.805084816897452,33.6,549.0,2.01
Punjab,Malerkotla,Maize,Kharif,28.783796788346724,24.6,536.3,3.35
Punjab,Malerkotla,Sugarcane,Kharif,43.57613065148798,28.4,972.2,68.23
Punjab,Bathinda,Rice (Paddy),Kharif,18.956615208698494,32.7,497.1,4.37
Haryana,Ludhiana,Sugarcane,Kharif,12.136211735894422,24.4,1222.4,78.43
Haryana,Doraha,Wheat,Rabi,23.711208146228046,18.1,174.9,3.88
Punjab,Patiala,Sugarcane,Kharif,38.47927981556428,30.6,763.7,76.05
Punjab,Bathinda,Sugarcane,Kharif,1.3705808739289638,29.2,949.5,72.52
Haryana,Patiala,Maize,Kharif,14.958772196134218,27.2,566.4,3.45
Haryana,Doraha,Cotton,Kharif,36.16415350952285,28.8,389.7,1.75
Punjab,Doraha,Maize,Kharif,10.044671347314617,25.3,480.9,3.23
Haryana,Patiala,Cotton,Kharif,24.69373668927631,34.3,403.8,1.75
Punjab,Phagwara,Maize,Kharif,44.326116704071985,28.7,508.2,3.42
Haryana,Doraha,Rice (Paddy),Kharif,42.153203840469295,33.8,847.5,3.58
Haryana,Jalandhar,Cotton,Kharif,21.76317442878938,33.2,344.2,2.12
Haryana,Ludhiana,Wheat,Rabi,8.49620624059957,18.8,175.4,3.76
Haryana,Bathinda,Sugarcane,Kharif,30.747607768350257,26.3,974.0,65.56
Punjab,Malerkotla,Rice (Paddy),Kharif,49.401490490529476,32.3,1050.8,3.59
Punjab,Ludhiana,Sugarcane,Kharif,49.57154369140723,23.1,605.2,72.88
Haryana,Phagwara,Maize,Kharif,4.891549080460344,32.1,635.7,2.65
Haryana,Malerkotla,Cotton,Kharif,22.678086887552805,31.0,324.7,2.04
Haryana,Bathinda,Wheat,Rabi,34.32646462406912,15.6,199.1,4.11
Haryana,Patiala,Cotton,Kharif,5.3496023112806546,33.1,491.9,1.93
Punjab,Phagwara,Wheat,Rabi,5.737146032689261,17.0,56.6,3.33
Haryana,Bathinda,Cotton,Kharif,31.555698712135225,32.9,528.9,2.17
Punjab,Khanna,Cotton,Kharif,35.728490189405846,30.2,342.9,1.83
Punjab,Malerkotla,Rice (Paddy),Kharif,25.976488090833207,27.2,764.2,3.16
Haryana,Amritsar,Sugarcane,Kharif,39.52752188109763,31.7,601.2,52.1
Haryana,Amritsar,Maize,Kharif,19.650541380352426,32.3,503.4,3.0
Punjab,Phagwara,Cotton,Kharif,41.11801519963924,32.2,521.2,2.01
Punjab,Patiala,Rice (Paddy),Kharif,30.706393949797896,28.7,1194.4,4.78
Punjab,Malerkotla,Rice (Paddy),Kharif,33.64903740591695,30.1,876.2,3.66
Haryana,Patiala,Wheat,Rabi,14.609878563713796,14.7,124.1,3.58
Punjab,Jalandhar,Maize,Kharif,39.25731771735355,22.6,490.5,3.13
Punjab,Malerkotla,Sugarcane,Kharif,9.362573168949922,26.9,1274.9,74.33
Punjab,Phagwara,Cotton,Kharif,31.284532040072115,33.8,296.6,2.01
Punjab,Amritsar,Maize,Kharif,44.44360654678287,23.5,774.6,2.84
Haryana,Phagwara,Maize,Kharif,19.96685925644591,26.5,496.4,3.07
Punjab,Bathinda,Wheat,Rabi,34.36776653467398,15.0,149.4,3.42
Punjab,Doraha,Wheat,Rabi,31.835641494526072,17.9,110.2,3.12
Haryana,Phagwara,Maize,Kharif,24.923815714067132,25.8,747.3,3.53
Haryana,Samrala,Sugarcane,Kharif,19.418525972142696,31.1,938.6,74.29
Punjab,Ludhiana,Wheat,Rabi,22.442553078714205,17.8,120.8,4.02
Punjab,Phagwara,Wheat,Rabi,19.93109658256746,21.1,202.1,3.43
Punjab,Bathinda,Cotton,Kharif,26.09887411982105,33.6,374.7,2.19
Punjab,Samrala,Sugarcane,Kharif,1.593315286509485,28.6,513.2,68.83
Haryana,Jalandhar,Sugarcane,Kharif,10.074582825505928,31.7,996.4,59.86
Haryana,Samrala,Wheat,Rabi,2.0263030905147277,16.5,189.8,3.33
Haryana,Jalandhar,Rice (Paddy),Kharif,13.515260749575756,31.6,1025.2,4.68
Haryana,Phagwara,Wheat,Rabi,16.78855966878679,21.6,208.2,3.5
Haryana,Amritsar,Sugarcane,Kharif,3.143045668118505,24.9,1118.7,63.41
Haryana,Doraha,Rice (Paddy),Kharif,9.020506271799773,29.2,727.4,4.12
Haryana,Bathinda,Sugarcane,Kharif,33.90129180983752,27.0,967.1,77.28
Punjab,Amritsar,Maize,Kharif,37.997054508567636,27.7,344.8,2.97
Haryana,Malerkotla,Cotton,Kharif,3.115513054053572,32.6,413.6,1.95
Haryana,Amritsar,Sugarcane,Kharif,8.383129277783992,31.2,1460.1,68.89
Punjab,Phagwara,Maize,Kharif,5.594089111632275,25.1,509.4,3.24
Haryana,Doraha,Rice (Paddy),Kharif,37.34389101413357,28.9,993.2,4.38
Haryana,Phagwara,Sugarcane,Kharif,10.21321199615539,30.1,719.9,56.49
Haryana,Khanna,Wheat,Rabi,38.2885472413766,19.6,183.1,4.08
Punjab,Phagwara,Sugarcane,Kharif,49.82038254373512,32.7,1156.8,67.51
Haryana,Samrala,Sugarcane,Kharif,7.753322058802535,25.7,1336.2,85.92
Haryana,Ludhiana,Cotton,Kharif,25.995375912442434,32.3,392.7,1.95
Punjab,Patiala,Cotton,Kharif,3.5873940629578764,33.2,552.4,2.24
Punjab,Jalandhar,Maize,Kharif,37.55033523187005,29.8,433.9,3.17
Haryana,Jalandhar,Maize,Kharif,8.225173808607913,29.3,394.7,2.83
Haryana,Malerkotla,Cotton,Kharif,15.672732014102447,35.7,432.9,1.49
Haryana,Khanna,Cotton,Kharif,19.807814644719155,32.1,485.6,2.2
Haryana,Khanna,Maize,Kharif,35.185860748483684,28.0,397.4,3.01
Haryana,Jalandhar,Wheat,Rabi,43.76378227374549,16.4,41.4,3.5
Haryana,Patiala,Wheat,Rabi,45.56011940841142,19.8,163.3,3.9
Haryana,Malerkotla,Cotton,Kharif,33.19080265708983,30.1,354.6,1.76
Punjab,Khanna,Cotton,Kharif,8.66270841576895,27.2,256.3,1.45
Punjab,Khanna,Wheat,Rabi,36.8899878600664,19.0,152.7,3.28
Punjab,Bathinda,Wheat,Rabi,48.99799117870609,15.8,128.8,3.68
Haryana,Ludhiana,Sugarcane,Kharif,16.126238425286566,31.5,677.0,64.0
Punjab,Khanna,Rice (Paddy),Kharif,26.646154657343956,32.5,678.5,3.06
Punjab,Khanna,Rice (Paddy),Kharif,27.633372649789656,28.9,882.7,3.81
Haryana,Malerkotla,Wheat,Rabi,5.780563001725687,19.2,141.3,4.33
Haryana,Samrala,Cotton,Kharif,18.442695315947784,30.4,385.4,1.91
Haryana,Patiala,Maize,Kharif,33.32183895334237,25.9,385.6,3.16
Punjab,Samrala,Wheat,Rabi,37.78574584296801,17.8,185.3,3.81
Haryana,Phagwara,Cotton,Kharif,23.133144142352453,34.6,769.3,1.96
Punjab,Samrala,Cotton,Kharif,26.643151928542324,30.6,577.1,1.95
Punjab,Samrala,Wheat,Rabi,8.739786318932053,15.5,105.0,3.47
Haryana,Jalandhar,Maize,Kharif,45.40101948352255,23.2,503.3,2.9
Haryana,Bathinda,Cotton,Kharif,41.198497864999695,36.1,459.0,1.41
Haryana,Jalandhar,Rice (Paddy),Kharif,40.376573236635224,31.1,788.1,3.72
Haryana,Doraha,Sugarcane,Kharif,8.949436883341487,26.2,1085.7,77.04
Haryana,Malerkotla,Cotton,Kharif,44.6226445978723,31.5,498.4,2.17
Punjab,Amritsar,Cotton,Kharif,23.503994661487482,33.5,407.1,1.92
Haryana,Doraha,Maize,Kharif,6.534217212147504,25.9,471.3,3.02
Punjab,Amritsar,Wheat,Rabi,31.07509352196925,15.0,113.1,3.64
Punjab,Jalandhar,Rice (Paddy),Kharif,7.186972336660634,27.2,979.2,3.96
Haryana,Phagwara,Sugarcane,Kharif,35.01337810198172,26.2,1104.9,68.41
Punjab,Jalandhar,Rice (Paddy),Kharif,15.893373660795467,31.7,908.5,3.73
Punjab,Khanna,Sugarcane,Kharif,1.009231578272513,27.6,1166.8,71.46
Haryana,Patiala,Maize,Kharif,27.785762789201634,25.9,656.9,3.2
Haryana,Samrala,Wheat,Rabi,48.345927124633114,17.1,149.3,3.99
Punjab,Jalandhar,Wheat,Rabi,35.26645338118398,18.3,151.6,4.42
Punjab,Jalandhar,Cotton,Kharif,6.516439130184914,28.6,544.2,1.89
Haryana,Bathinda,Sugarcane,Kharif,12.091223222732811,30.7,1085.7,80.35
Punjab,Phagwara,Maize,Kharif,42.069456994044295,29.6,525.7,2.92
Punjab,Bathinda,Maize,Kharif,13.36305524213092,27.7,388.7,3.3
Haryana,Ludhiana,Maize,Kharif,35.02807235040473,25.0,560.1,2.69
Punjab,Malerkotla,Sugarcane,Kharif,44.73364120778746,31.9,1322.5,87.7
Haryana,Phagwara,Cotton,Kharif,6.107015337609036,30.2,524.2,1.88
Punjab,Phagwara,Rice (Paddy),Kharif,25.807036915264934,29.5,936.0,4.55
Punjab,Doraha,Rice (Paddy),Kharif,23.072799781233098,28.6,830.9,4.86
Haryana,Patiala,Rice (Paddy),Kharif,26.312058793852973,30.7,844.7,4.07
Punjab,Ludhiana,Wheat,Rabi,15.38095233719796,16.4,78.2,3.48
Punjab,Ludhiana,Maize,Kharif,17.915933997282913,27.2,447.7,3.06
Punjab,Ludhiana,Cotton,Kharif,36.763155133575445,32.5,461.3,2.18
Haryana,Ludhiana,Maize,Kharif,36.203032261118025,28.3,582.5,3.12
Haryana,Ludhiana,Cotton,Kharif,19.083598066284914,34.3,507.6,2.34
Punjab,Ludhiana,Cotton,Kharif,4.92882069001327,32.9,466.9,1.9
Punjab,Doraha,Wheat,Rabi,7.804694993429333,19.9,206.4,3.82
Haryana,Khanna,Sugarcane,Kharif,37.30808126345435,30.8,1111.8,60.59
Punjab,Doraha,Maize,Kharif,7.027161461063536,26.5,687.0,2.98
Haryana,Malerkotla,Cotton,Kharif,19.982236697764307,30.5,634.0,1.97
Haryana,Amritsar,Sugarcane,Kharif,23.05604469791468,22.5,781.1,64.83
Haryana,Doraha,Sugarcane,Kharif,30.452634173211415,20.8,1115.4,65.54
Punjab,Patiala,Maize,Kharif,44.61475472400661,26.5,505.3,3.29
Haryana,Amritsar,Cotton,Kharif,1.3288091248989378,30.4,281.7,2.1
Haryana,Patiala,Cotton,Kharif,28.424733797059055,29.8,611.6,2.05
Haryana,Khanna,Sugarcane,Kharif,20.011351237396603,25.3,678.5,68.58
Haryana,Bathinda,Wheat,Rabi,6.690809049825755,17.1,102.9,2.97
Haryana,Patiala,Wheat,Rabi,41.50866062733289,16.4,158.1,3.69
Punjab,Amritsar,Maize,Kharif,38.33318881763863,25.7,547.7,3.44
Haryana,Jalandhar,Wheat,Rabi,3.824731527752219,19.0,152.4,4.05
Haryana,Jalandhar,Maize,Kharif,31.685481749632128,28.9,281.0,2.72
Punjab,Amritsar,Rice (Paddy),Kharif,39.83354820618304,26.8,732.8,3.8
Haryana,Khanna,Sugarcane,Kharif,7.48624657271365,28.8,886.5,75.72
Punjab,Khanna,Maize,Kharif,37.54714189272359,26.0,532.3,3.34
Haryana,Khanna,Rice (Paddy),Kharif,47.50649501138258,30.0,744.6,4.27
Haryana,Khanna,Wheat,Rabi,25.07949069889928,16.5,175.6,3.82
Punjab,Jalandhar,Wheat,Rabi,36.560106697777506,17.9,53.2,3.69
Punjab,Patiala,Maize,Kharif,24.347685805136344,29.9,333.8,2.69
